country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4509,4.6,58,37.4,20.4,21,58.6,16.1,123,123,27341,45831,-18490,4121,3.2,69.5,3,4.6,4736.2,32.1,5.5,0.9,-99,25.3,93.8,17.2,72,1.9,6744,58,0.88
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,102,102,129315,76997,52318,28967,0.3,63.2,1.6,2,10.5,3.4,7.8,2.8,5.3,22.2,103.7,80.1,50,10.9,84,114,-99
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3,44.7,3.4,7.8,3.6,5.8,27.5,133.5,78.9,174,7.5,313,119,-99
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,89,89,461529,404578,56951,29348,-0.1,69,0.4,1.4,216.7,3,9.2,3.9,4.1,31,151.3,65.6,359,31.4,1539,103,-99
Jamaica,Caribbean,10990,2890,266.9,99,14262,1,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,102,102,1202,4767,-3565,-400,0.4,54.8,0.9,2.1,~0.0,15,5.4,...,5.5,17.5,111.5,43.2,311,31,8,37,0.42
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,1.4,19.4,2.2,10.2,2.3,3.6,9.3,125,93.3,404,68.5,1114,146,-99
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,721.4,17.1,7.5,2.6,-99,15.4,179.4,53.4,113,1.1,7,47,5.8
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,5,32.5,62.5,18.1,20.4,61.6,5.6,126,127,36775,25175,11601,-5464,1.6,53.2,0.9,2.7,9.2,14.1,4.4,3.3,2.8,27.1,187.2,72.9,82,1.2,7091,193,0.05
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,32,19,49,61.9,8.6,29.5,10.8,126,126,5688,14109,-8420,-6339,2.7,25.6,4.3,4.1,582.4,39.4,5.7,0.2,5.3,19.4,80.7,45.6,480,7.7,750,20,3.93
Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199,199,46238,30825,15413,8584,5.4,98.3,3.6,2,94.7,8.4,3,1.9,...,3.1,231.8,82.1,49,0.4,6941,380,-99
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,3.1,8.2,19.6,6.5,1.9,5.5,19.2,132.8,30.2,44,3.4,80,27,12.16
Laos,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,193,186,2066,4513,-2447,-2264,1.3,38.6,4.9,2.9,-99,47.3,1.9,0.2,3.3,27.5,53.1,18.2,209,80.5,72,12,4.03
